"IDLOCALIDAD","UNIDAD_DE_ANALISIS","IDPERIODO","IDEPOCA","IDEDADGEOLOGICA","IDEDAD_L/M","ISOTOPO","IDMAGNETOCRON","EDAD_MINIMA","MET_FECHADO_MNIMO","EDAD_MAXIMA","MET_FECHADO_MAXIMO"
86.00,"ND","QUAT","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
86.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
86.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
87.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
88.00,"ND","ND","PLIO","ND","ND","ND","ND","ND","ND","ND","ND"
88.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
89.00,"ND","QUAT","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
89.00,"ND","QUAT","EPLE","ND","ND","ND","ND","ND","ND","ND","ND"
89.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
89.00,"ND","QUAT","MPLE","ND","ND","ND","ND","ND","ND","ND","ND"
89.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
90.00,"ND","?QUA","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
90.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
91.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
92.00,"CM 24","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
92.00,"CM 37","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
92.00,"CM 56 D","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
92.00,"CM 64","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
92.00,"CM 68","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
93.00,"ND","ND","ND","ND","ND","Etapa 5a-5e","ND","ND","ND","ND","ND"
93.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
93.00,"ND","QUAT","ND","SANG","RANC","ND","ND","ND","ND","ND","ND"
93.00,"ND","QUAT","PLEI","ILLI","RANC","ND","ND","ND","ND","ND","ND"
93.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
94.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
95.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
96.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
97.00,"ND","QUAT","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
97.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
98.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
99.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
100.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
101.00,"capa IVA, a una profundidad 0.95 m","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
101.00,"capa VI, a una profundidad 1.84","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
101.00,"capa VII, a una profundidad 2.40 m aprox.","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
101.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
102.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
102.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
103.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
103.00,"ND","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
103.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
104.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
105.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
106.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
107.00,"Estrato F","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
107.00,"ND","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
107.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
107.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
108.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
108.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
109.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
110.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
110.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
111.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
112.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
113.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
114.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
115.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
116.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
117.00,"ND","QUAT","LPLE","WISC","ND","ND","ND","ND","ND","ND","ND"
118.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
119.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
120.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
