"IDPUBLICACION","ORDEN_EN_CITA","IDAUTORPUB","APELLIDO_PATERNO","APELLIDO_MATERNO","NOMBRE","ABREVIADO"
270.00,2.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
270.00,3.00,180.00,"Johnson","ND","Eileen","ND"
271.00,1.00,156.00,"Packard","ND","Robert L.","ND"
271.00,2.00,234.00,"Alvarez","ND","Ticul","ND"
272.00,1.00,157.00,"Parmalee","ND","Paul W.","ND"
273.00,1.00,26.00,"Patton","ND","Thomas Hudson","ND"
274.00,1.00,159.00,"Pichardo","Del Barrio","M.","ND"
274.00,2.00,160.00,"Bonilla","Luna","J.","ND"
274.00,3.00,161.00,"Hoppe","ND","W.","ND"
275.00,1.00,241.00,"Polaco-","Ramos","Oscar J.","ND"
276.00,1.00,241.00,"Polaco","Ramos","Oscar J.","ND"
277.00,1.00,241.00,"Polaco","ND","Oscar J.","ND"
277.00,2.00,163.00,"Butrón","M.","Ligia","ND"
277.00,3.00,164.00,"Cárdenas","ND","Rolando","ND"
278.00,1.00,165.00,"Pollock","ND","H. E. D.","ND"
278.00,2.00,24.00,"Ray","ND","Clayton E.","ND"
279.00,1.00,166.00,"Quinn","ND","James Harrison","ND"
280.00,1.00,167.00,"Ramos","Meza","Ernesto","ND"
280.00,2.00,168.00,"Delgado","ND","Diego W.","ND"
281.00,1.00,24.00,"Ray","ND","Clayton E.","ND"
282.00,1.00,24.00,"Ray","ND","Clayton E.","ND"
283.00,1.00,169.00,"Rea","ND","Amadeo M.","ND"
284.00,1.00,39.00,"Repenning","ND","Charles A.","ND"
285.00,1.00,170.00,"Reyes","ND","Alicia E.","ND"
286.00,1.00,170.00,"Reyes","ND","Alicia E.","ND"
287.00,1.00,171.00,"Robison","ND","Niel D.","ND"
288.00,1.00,260.00,"Richards","ND","Ronald L.","ND"
289.00,1.00,172.00,"Richey","ND","K. A.","ND"
290.00,1.00,173.00,"Sánchez","ND","Oscar","ND"
291.00,1.00,174.00,"Saunders","ND","Jeffrey J.","ND"
291.00,2.00,175.00,"Tassy","ND","Pascal","ND"
292.00,1.00,176.00,"Savage","ND","Donald E.","ND"
293.00,1.00,177.00,"Simpson","ND","George Gaylord","ND"
294.00,1.00,178.00,"Skinner","ND","Morris F.","ND"
295.00,1.00,198.00,"Slaughter","ND","Bob H.","ND"
296.00,1.00,179.00,"Steadman","ND","David W.","ND"
296.00,2.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
296.00,3.00,180.00,"Johnson","ND","Eileen","ND"
296.00,4.00,285.00,"Guzmán","ND","A. Fabiola","ND"
297.00,1.00,181.00,"Del Toro","ND","Jaime","ND"
298.00,1.00,182.00,"Toscano","Moreno","J. Jesús","ND"
299.00,1.00,183.00,"Van Devender","ND","Thomas R.","ND"
299.00,2.00,169.00,"Rea","ND","Amadeo M.","ND"
299.00,3.00,184.00,"Smith","ND","Michael L.","ND"
300.00,1.00,95.00,"Flannery","ND","Kent V.","ND"
301.00,1.00,185.00,"Clayton","ND","E. Ray","ND"
301.00,2.00,186.00,"Denny","ND","Charles S.","ND"
301.00,3.00,187.00,"Rubin","ND","Meyer","ND"
302.00,1.00,444.00,"Villada","ND","Manuel M.","ND"
303.00,1.00,141.00,"Webb","ND","S. David","ND"
304.00,1.00,141.00,"Webb","ND","S. David","ND"
305.00,1.00,188.00,"Wing","ND","Elizabeth S.","ND"
306.00,1.00,188.00,"Wing","ND","Elizabeth S.","ND"
307.00,1.00,188.00,"Wing","ND","Elizabeth S.","ND"
308.00,1.00,188.00,"Wing","ND","Elizabeth S.","ND"
309.00,1.00,188.00,"Wing","ND","Elizabeth S.","ND"
309.00,2.00,189.00,"Reitz","ND","Elizabeth S.","ND"
310.00,1.00,190.00,"Woodward","ND","Susan L.","ND"
311.00,1.00,191.00,"Wortman","ND","J. L.","ND"
312.00,1.00,192.00,"Zakrzewski","ND","Richard J.","ND"
313.00,1.00,192.00,"Zakrzewski","ND","Richard J.","ND"
314.00,1.00,317.00,"Shaw","ND","Christopher A.","ND"
314.00,2.00,22.00,"Mc Donald","ND","H. Gregory","ND"
315.00,1.00,340.00,"Irwin-","Williams","Cynthia","ND"
316.00,1.00,241.00,"Polaco","ND","Oscar J.","ND"
317.00,1.00,193.00,"Peterson","ND","Amy A.","ND"
317.00,2.00,194.00,"Townsend","ND","Peterson A.","ND"
318.00,1.00,195.00,"Haynes","ND","C. Vance, Jr.","ND"
319.00,1.00,196.00,"Hester","ND","James J.","ND"
320.00,1.00,159.00,"Pichardo","Del Barrio","M.","ND"
321.00,1.00,197.00,"Schafer","ND","Tracy S.","ND"
321.00,2.00,81.00,"Dalquest","ND","Walter W.","ND"
322.00,1.00,198.00,"Slaughter","ND","Bob H.","ND"
322.00,2.00,199.00,"Crook","ND","Wilson W., Jr.","ND"
322.00,3.00,200.00,"Harris","ND","R. K.","ND"
322.00,4.00,201.00,"Allen","ND","D. C.","ND"
322.00,5.00,202.00,"Seifert","ND","Martin","ND"
323.00,1.00,203.00,"Bolong","ND","N. A.","ND"
323.00,2.00,264.00,"Arroyo-","Cabrales","Joaquín","ND"
323.00,3.00,204.00,"Allen","ND","B. L.","ND"
323.00,4.00,180.00,"Johnson","ND","E.","ND"
323.00,5.00,206.00,"Flores-","Díaz","A.","ND"
324.00,1.00,207.00,"Quintanar","Stephano","José Luis","ND"
324.00,2.00,208.00,"Rodríguez","Avalos","José Alberto","ND"
325.00,1.00,444.00,"Villada","ND","Manuel M.","ND"
326.00,1.00,209.00,"Solórzano","ND","Federico A.","ND"
327.00,1.00,27.00,"De Paula","Couto","Carlos","ND"
